id,title,subTitle,start,color,img,desc,descImg,yt,twitter,null
1,キズナアイ,upd8,,pink,,,,,aichan_nel,
2,呉葉@バーチャル転移少女,【Poison Lily】,2018-03-09,#3ADF00,images/VtuberDebut/Vtuber/2_60.jpg,「人類美少女計画」に賛同したところ異世界転移してしまったバーチャル美少女。しかし、その異世界は既に崩壊していた為に、更に転移魔法を授かり、世界を渡り歩き、崩壊した異世界を復興させようと奮闘している。,images/VtuberDebut/Vtuber/2_150.jpg,https://www.youtube.com/channel/UCoHcTDlZhs8IWnbM3aRekRA,,
3,勇気ちひろ,にじさんじ,,#4000FF,,,,,,
4,宇志海いちご,にじさんじ,,#0B3B24,,,,,,
5,あっくん大魔王,,,#01DFD7,,,,,,
6,ときのそら,ホロライブ,,#DF3A01,,,,,,
7,森中花咲,にじさんじ,,#01A9DB,,,,,,
8,ロボ子,ホロライブ,2018-03-04,#DF01D7,,,,,,
9,富士葵,株式会社Smarprise,2017-12-08,#CC2EFA,,,,https://www.youtube.com/channel/UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618,
10,織田信姫,upd8,,#00BFFF,,,,,,
11,ピーナッツくん,,,#BF00FF,,,,,,
12,東雲めぐ,,2018-02-27,#FFFF00,,,,,,
13,のらきゃっと,,,#585858,,,,,,
14,阿古江レイスケ,,,#B45F04,,,,,,
15,藍原八千代,,2018-03-16,#01A9DB,,,,,,
16,叶,にじさんじゲーマーズ,,#FFBF00,,,,,,
17,渋谷ハル,,,#DF3A01,,,,,,
18,カルロ・ピノ,アイドル部（.LIVE),,#086A87,,,,,,
19,アズマリム,,2018-03-01,#B45F04,,,,,,
20,パンディ,upd8,,#BF00FF,,,,,,
21,ファイ博士,,,#a5a5a5,,,,,,
22,クーテトラ,,,#FFBF00,,,,,,
23,ナイア,,,#04B404,,,,,,
24,星咲ちあ,,,#8904B1,,,,,,
25,内藤メア,,,#04B4AE,,,,,,
27,由持もに,元アマリリス組,,#BF00FF,,,,,,
28,雛瀬さくら,元アマリリス組,,#01DF01,,,,,,
29,姫野裕子,元アマリリス組,,#DF01D7,,,,,,
30,四ツ辻まよい,元アマリリス組,,#BF00FF,,,,,,
31,ルル・ルチカ,元アマリリス組,,#04B4AE,,,,,,
32,みるくぷりん,元アマリリス組,,#00FFFF,,,,,,
33,理原ひなり,元アマリリス組,,#00BFFF,,,,,,
34,姚玲蘭,元アマリリス組,,#B43104,,,,,,
35,ルリカ・レインウォーター,元アマリリス組,,#DF013A,,,,,,
36,電脳少女シロ,,,#0B3B2E,,,,,,
39,渋谷ハジメ,にじさんじ,,#0040FF,,,,,,
40,鈴谷アキ,にじさんじ,,#2A1B0A,,,,,,
41,モイラ,にじさんじ,,#01DFA5,,,,,,
42,夕陽リリ,にじさんじ,,#B45F04,,,,,,
43,伏見ガク,にじさんじ,,#3A01DF,,,,,,
44,ギルザレンⅢ世,にじさんじ,,#DF01D7,,,,,,
45,剣持刀也,にじさんじ,,#04B4AE,,,,,,
46,名伽尾アズマ,にじさんじSEEDs,,#FF8000,,,,,,
47,轟京子,にじさんじSEEDs,,#FACC2E,,,,,,
48,花畑チャイカ,にじさんじSEEDs,,#585858,,,,,,
49,安土桃,にじさんじSEEDs,,#FF8000,,,,,,
50,鈴木勝,にじさんじSEEDs,,#04B4AE,,,,,,
51,緑仙,にじさんじSEEDs,,#2ECCFA,,,,,,
52,ぽんぽこ,,,#5882FA,,,,,,
53,キランユウ,,,#00FFFF,,,,,,
54,Icotsu,,,#01DF3A,,,,,,
56,かしこまり,upd8,2018-02-13,#DBA901,,,,,,
57,ちゆ12歳,,2018-02-13,#DBA901,,,,,,
58,響木アオ,upd8,2018-02-14,#088A08,,,,,,
59,薬袋カルテ,,2018-02-15,#424242,,,,,,
60,たかじんちゃん,,2018-02-15,#B45F04,,,,,,
61,猫宮ひなた,ENTUM,2018-02-16,#D7DF01,,,,,,
62,イヌージョン,,2018-02-16,#FF8000,,,,,,
64,パゲ美,,2018-02-17,#B45F04,,,,,,
65,八月二雪,,2018-02-18,#01A9DB,,,,,,
66,はちこ,,2018-02-19,#DF3A01,,,,,,
67,動く城のフィオ,,2018-02-20,#0174DF,,,,,,
68,虹河ラキ,,2018-02-23,#31B404,,,,,,
69,はちゃち,,2018-02-25,#01DF3A,,,,,,
70,春日部つくし,,2018-02-26,#00FF80,,,,,,
72,鳩羽つぐ,,2018-02-28,#BF00FF,,,,,,
73,海月ねう,upd8,2018-03-02,#FFBF00,,,,,,
75,ミソシタ,,2018-03-04,#0080FF,,,,,,
76,おめがシスターズ,,2018-03-05,#8000FF,,,,,,
77,ゲーム部,,2018-03-06,#6E6E6E,,,,,,
78,宇宙怪獣アンチン,,2018-03-08,#04B431,,,,,,
79,小山内めい,,2018-03-10,#6E6E6E,,,,,,
80,物述有栖,にじさんじ,2018-03-13,#151515,,,,,,
81,名取さな,,2018-03-16,#4C0B5F,,,,,,
83,田中ヒメ,,2018-03-18,#151515,,,,,,
84,日雇礼子,,2018-03-22,#0404B4,,,,,,
85,メリーミルク,,2018-03-23,#8A0886,,,,,,
86,ハッカドール,,2018-04-01,#088A08,,,,,,
87,フェルミ,真空管ドールズ,2018-04-02,#0489B1,,,,,,
88,万楽えね,,2018-02-14,#58FAD0,,,,,,
89,夏色まつり,ホロライブ,,#8904B1,,,,,,
90,れらたん,,,#FE2E9A,,,,,,
92,琴吹ゆめ,,,#FFBF00,,,,,,
93,神楽めあ,,,#DF01D7,,,,,,
94,闇妖精ティー,,,#6E6E6E,,,,,,
95,オボロリュウ,,,#FE9A2E,,,,,,
96,アクネッティ,,,#848484,,,,,,
97,朝ノ三姉妹,,,#FA8258,,,,,,
98,奈日抽ねね,,,#DA81F5,,,,,,
99,ばあちゃる,,,#81F7D8,,,,,,
100,道明寺晴翔,ゲーム部,,#FE9A2E,,,,,,
101,もやし,,,#FE2E9A,,,,,,
102,周防パトラ,ハニーストラップ,,#CC2EFA,,,,,,
103,赤井はあと,ホロライブ,,#0174DF,,,,,,
104,蟒蛇ミキ,,,#610B5E,,,,,,
105,星野光,,,#8A4B08,,,,,,
106,ネア,,,#B40404,,,,,,
107,コーサカ,,,#8A0886,,,,,,
108,さえきやひろ,,,#FF8000,,,,,,
109,猫乃木もち,アイドル部（.LIVE),,#04B4AE,,,,,,
110,ドーラ,,,#2ECCFA,,,,,,
111,宇森ひなこ,あにまーれ,,#5882FA,,,,,,
112,森永みう,,,#00FFFF,,,,,,
115,八重沢なとり,アイドル部（.LIVE),,#088A08,,,,,,
116,クゥ・フラン・ゾーパー,クゥ姉、クゥ姉ちゃん、姉ちゃん、クゥちゃん、クゥ,2018-01-15,#9A1400,images/VtuberDebut/Vtuber/116_60.jpg,超JC系バーチャルYouTuber\nなんかゲームとかゲームじゃないものとかしてる,images/VtuberDebut/Vtuber/116_150.jpg,https://www.youtube.com/c/KooFranZopar?sub_confirmation=1,koo_fran_zopar,
117,仮面チューバ剛,,2018-02-17,#0B3B24,,,,,,
118,白藤環,えのぐ,,#01DFD7,,,,,,
119,織神ゆさ,,,#DF3A01,,,,,,
120,八朔ゆず,にじさんじSEEDs,,#0B243B,,,,,,
121,黒咲りん,,,#AEB404,,,,,,
122,おこめ,,,#AEB404,,,,,,
123,蒼月エリ,ハニーストラップ,,#0B3B39,,,,,,
124,九条紫月,,,#0B3B39,,,,,,
125,千草はな,,,#0B3B39,,,,,,
126,御来屋久遠,,,#01A9DB,,,,,,
127,くのいち子,,,#AEB404,,,,,,
128,夢咲楓,ゲーム部,,#FF00BF,,,,,,
129,道明寺ここあ,ゲーム部,,#585858,,,,,,
130,風宮まつり,,,#86B404,,,,,,
131,アベレージ,,,#01A9DB,,,,,,
132,月ノ美兎,にじさんじ,2018-02-07,#DBA901,,,,,,
133,サムズ・ボボ,,2018-08-16,#01DF74,,,,https://www.youtube.com/channel/UCTzEgqLg0xc7xKBZlT7J7wQ,thumbsbobosan,
134,ぽてち,,,#AEB404,,,,,,
135,金剛いろは,アイドル部（.LIVE),,#DF7401,,,,,,
136,シスター・クレア,にじさんじSEEDs,,#0080FF,,,,,,
137,YuNi,,,#FF00BF,,,,,,
138,ぼっちぼろまる,,,#0080FF,,,,,,
139,ジョー・力一,,,#AEB404,,,,,,
140,絶対天使くるみちゃん,,,#A901DB,,,,,,
141,天野ヒカリ,,,#0174DF,,,,,,
142,かんな,,,#D7DF01,,,,,,
143,稲荷くろむ,あにまーれ,,#D7DF01,,,,,,
144,白上フブキ,ホロライブ,,#00BFFF,,,,,,
145,カフェ野ゾンビ子,upd8,,#00BFFF,,,,,,
146,ケリン,upd8,,#01DF3A,,,,,,
147,出雲霞,にじさんじSEEDs,,#FF00FF,,,,,,
148,あさひ,,,#01DF3A,,,,,,
149,すーぱーそに子,,,#610B5E,,,,,,
150,じーえふちゃん,,,#8A4B08,,,,,,
151,YUA,,,#B40404,,,,,,
152,遠坂ユラ,,,#8A0886,,,,,,
153,竜胆尊,,,#A901DB,,,,,,
154,しゃいとううめ,,,#FA58F4,,,,,,
155,久宝雅,,,#868A08,,,,,,
156,ちくわ,,,#424242,,,,,,
157,バスター,,,#00BFFF,,,,,,
158,ウィル・ウィスタリア,,,#FF8000,,,,,,
159,宗谷いちか,,,#04B404,,,,,,
160,輝夜月,,,#2E2E2E,,,,,,
161,遠北千南,,,#04B431,,,,,,
162,白鳥天羽,,,#FA58F4,,,,,,
163,ヤマトイオリ,,,#B40404,,,,,,
164,葛葉,,,#086A87,,,,,,
165,日向奈央,,,#DF7401,,,,,,
166,笹木咲,,,#B45F04,,,,,,
167,日ノ隈らん,,,#088A08,,,,,,
168,千葉ねずみ,,,#9A1400,,,,,,
169,わたわた,,,#0B3B24,,,,,,
170,久遠シイ,,,#01DFD7,,,,,,
171,億里モナ,,2018-03-09,pink,,バーチャルYouTuberの 億里モナ です( *´꒳`*)❤️月.水.木.金の18:30から生放送してます😍10月から声が変わりました,,https://www.youtube.com/channel/UCZKWkTd86kW0v0T1Si5QvfA,https://twitter.com/OkuriMona,
172,雷輝アンタレス,,,#BF00FF,,,,,,
173,姫榊みみ,,,#FFBF00,,,,,,
174,湊あくあ,,,#0080FF,,,,,,
175,鴨見カモミ,,,#E2143A,,,,,,
176,百鬼あやめ,,,#DF7401,,,,,,
177,雪汝,,,#5AE413,,,,,,
178,柊椋,,,#66CCEF,,,,,,
179,鷹宮リオン,,,#4C0B5F,,,,,,
180,リタ,KMNZ,,#FAF9E2,,,,,,
181,Azatu,,,#DF4AF6,,,,,,
182,皆守ひいろ,,,#A3A0A1,,,,,,
183,ふぇありす,個人,2018-03-06,#ffdce8,,清楚で可憐といえば私だよね❤ *⋈…YouTube https://goo.gl/vDeC3W  *⋈…Amazon https://goo.gl/v7ztpd  *⋈…Character Design @YuzurihaP イラストは #ふぇあーと ⇒動画で使わせて頂く時があります！,,https://www.youtube.com/channel/UC2Rr7mILebYLTjd38DNNUTw,https://twitter.com/fairyschan,
184,もちひよこ,,,#69F680,,,,,,
185,リクビッツ,,,#B55068,,,,,,
186,ミディ,,,#B36020,,,,,,
187,アナト,,,#560D40,,,,,,
188,巣黒るい,,,#A107CF,,,,,,
189,リリー博士,,,#E37384,,,,,,
190,御堂カルマ,,,#24D45B,,,,,,
191,紗樹万咲,,,#9A8BE4,,,,,,
192,夜桜たま,,,#45E85C,,,,,,
193,風見涼,,,#E8684C,,,,,,
194,雨下カイト,,,#BA2C0B,,,,,,
195,夕顔瀬ありす,,,#15D2D0,,,,,,
196,青道アカト,,,#E0B850,,,,,,
197,ハクヤ,,,#2EEC9F,,,,,,
198,アイシィ・Vソリッド,,,#358D76,,,,,,
199,ももちもも,,,#67BBA7,,,,,,
200,キリン,,,#8EB429,,,,,,
201,女神エルミナ,,,#AE9A42,,,,,,
203,桜樹みりあ,,,#B02489,,,,,,
204,ソロ,,,#F8FB5E,,,,,,
205,女帝セツナ,,,#51D3C5,,,,,,
206,相沢澪(はちゃち),,,#A3FE0A,,,,,,
207,勇者ことね,,,#0B0644,,,,,,
208,おきゅたん,,,#BF3B2F,,,,,,
209,ミライアカリ,,,#ACED11,,,,,,
210,ナイセン,,,#4D539A,,,,,,
211,激おこバンバンちゃん,,,#2E37BA,,,,,,
212,綺羅星きらり,,,#3E11E1,,,,,,
213,馬越健太郎,,,#AB8A6B,,,,,,
214,海夜叉神,,,#25FAE2,,,,,,
215,ギルザレン,,,#B4610D,,,,,,
216,ピピピピピ,,,#D80AC0,,,,,,
217,ぴのこ,,,#F661A5,,,,,,
218,ユキミお姉ちゃん,,,#136666,,,,,,
219,届木ウカ,,,#8732A7,,,,,,
220,乾物ひもの,,,#85FB98,,,,,,
221,北上双葉,,,#782669,,,,,,
222,倉池ふじの,,,#9F7025,,,,,,
223,ミィ・ガルルナ,,,#551BA9,,,,,,
224,HAL（はる）,,,#167098,,,,,,
225,リーディア,,,#B0AA39,,,,,,
226,特殊部隊員「JACK」,,,#9BC404,,,,,,
227,犬神灰斗,,,#5438DA,,,,,,
228,タコヘッド,,,#73DD60,,,,,,
229,仮面チューバー剛,,,#A2F616,,,,,,
230,エイレーン,,,#62D658,,,,,,
231,ペトラ✧金星人,,,#6E3E7F,,,,,,
232,あいえる,,,#833970,,,,,,
233,姫神ななみ,,,#6FF824,,,,,,
234,ハネたん,,,#048CFB,,,,,,
235,新良良,,,#BE66F3,,,,,,
236,勇者カキ,,,#2153F4,,,,,,
237,闇妖精ティーちゃん,,,#957FE6,,,,,,
238,有枷尾アズマ,,,#5E7663,,,,,,
239,ねむ,,,#B0FCDD,,,,,,
240,ルチカ,,,#E54B05,,,,,,
241,バーチャル死神さん,,,#634123,,,,,,
242,世界クルミ,,,#D5033F,,,,,,
243,ユメノシオリ,,,#58CDC4,,,,,,
244,ナイア（NaiA）,,,#103D8B,,,,,,
245,鍵井結唯,,,#DDBBE1,,,,,,
246,カルロピノ,,,#080860,,,,,,
247,朝ノ瑠璃,,,#5AFFAC,,,,,,
248,姫宮縷愛,,,#82E3D5,,,,,,
249,あねえる,,,#7B9109,,,,,,
250,ニーツ,,,#B8FA10,,,,,,
251,乾伸一郎,,,#29FE2D,,,,,,
252,牛巻りこ,アイドル部,,#54CCA9,,,,,,
253,環右金,,2018-02-17,#ECE9C2,,,,,,
254,ウル=ケン・ノース,,2018-02-17,#B647D6,,,,,,
255,天開司,,2018-06-02,#E25978,,,,,,
